epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5091.22,1.20102,7.29333,1.16571,0.4861,0.41066,0.37939,0.288,1.24953,10.0749,1.12045,0.0091882,0.0091882,0.0091882
43,5210.56,1.20795,7.23173,1.169,0.43209,0.40207,0.35649,0.26909,1.2914,10.3204,1.14151,0.0091684,0.0091684,0.0091684
44,5331.57,1.18859,7.19271,1.16143,0.39098,0.44736,0.3588,0.26788,1.29883,10.158,1.14367,0.0091486,0.0091486,0.0091486
45,5450.08,1.19156,7.15747,1.16482,0.4469,0.39599,0.35441,0.2648,1.28347,10.0853,1.15291,0.0091288,0.0091288,0.0091288
46,5568.56,1.18737,7.06685,1.1634,0.40586,0.42199,0.36181,0.2729,1.27699,10.0175,1.13586,0.009109,0.009109,0.009109
47,5687.21,1.19596,7.09527,1.16366,0.48156,0.38463,0.365,0.27612,1.27809,10.1121,1.13279,0.0090892,0.0090892,0.0090892
48,5806.72,1.18867,7.08491,1.16297,0.42023,0.37943,0.34474,0.26037,1.25319,10.1821,1.13086,0.0090694,0.0090694,0.0090694
49,5925.94,1.18831,7.0251,1.15929,0.46335,0.41282,0.36765,0.27706,1.28228,10.1587,1.13535,0.0090496,0.0090496,0.0090496
50,6046.72,1.18499,7.02005,1.16047,0.51816,0.35441,0.37546,0.28233,1.26068,9.88373,1.12556,0.0090298,0.0090298,0.0090298
51,6165.79,1.18597,6.99141,1.1636,0.44316,0.42926,0.37053,0.2687,1.27473,10.1185,1.13464,0.00901,0.00901,0.00901
52,6285.63,1.19041,6.92438,1.1558,0.52283,0.37993,0.37059,0.28285,1.25656,10.2577,1.12467,0.0089902,0.0089902,0.0089902
53,6406.93,1.17984,6.92868,1.15622,0.50242,0.40404,0.38469,0.28891,1.25148,10.1001,1.11449,0.0089704,0.0089704,0.0089704
54,6528.86,1.18289,6.9222,1.15623,0.48105,0.41737,0.39972,0.30604,1.25318,9.71129,1.11577,0.0089506,0.0089506,0.0089506
55,6647.51,1.17428,6.83205,1.15068,0.42707,0.44073,0.38869,0.29485,1.26439,9.71952,1.12123,0.0089308,0.0089308,0.0089308
56,6767.32,1.17691,6.79034,1.15663,0.45721,0.42017,0.35307,0.26832,1.2453,10.0475,1.12667,0.008911,0.008911,0.008911
57,6888.64,1.17713,6.79578,1.15394,0.43077,0.41684,0.38414,0.29194,1.25,9.78392,1.11835,0.0088912,0.0088912,0.0088912
58,7007.19,1.16577,6.7467,1.14938,0.44261,0.42111,0.3773,0.29022,1.24407,9.91955,1.11169,0.0088714,0.0088714,0.0088714
59,7127.11,1.16046,6.63266,1.14355,0.44941,0.38338,0.37383,0.28377,1.28448,9.99112,1.12543,0.0088516,0.0088516,0.0088516
60,7249.07,1.15616,6.69031,1.14805,0.46081,0.447,0.39881,0.30701,1.26397,9.94556,1.11755,0.0088318,0.0088318,0.0088318
61,7368.66,1.15511,6.58173,1.14641,0.49104,0.40046,0.39109,0.29692,1.25301,9.83136,1.11669,0.008812,0.008812,0.008812
62,7488.56,1.14315,6.55037,1.14101,0.51911,0.37726,0.37809,0.29033,1.26181,10.0243,1.12135,0.0087922,0.0087922,0.0087922
63,7610.47,1.15457,6.57378,1.14708,0.48721,0.36544,0.37468,0.29316,1.21297,9.99689,1.09892,0.0087724,0.0087724,0.0087724
64,7729.08,1.145,6.53289,1.1395,0.45656,0.42374,0.37579,0.29016,1.2385,9.98138,1.11903,0.0087526,0.0087526,0.0087526
65,7848.27,1.14535,6.54564,1.13989,0.49434,0.3859,0.3822,0.29355,1.21869,9.8573,1.10078,0.0087328,0.0087328,0.0087328
66,7968.56,1.15005,6.48482,1.14021,0.51329,0.39452,0.3919,0.29621,1.23178,9.9926,1.10873,0.008713,0.008713,0.008713
